IMG_ID	Phylum	Genome_Size	Gene_Count
637000001	Acidobacteria	5650368	4837
637000031	Actinobacteria	2260266	1805
637000082	Actinobacteria	2488635	2395
637000085	Actinobacteria	2476822	2186
637000010	Aquificae	1590791	1613
637000024	Bacteroidetes	5241700	4403
637000087	Bacteroidetes	4433218	3843
637000059	Chlamydiae	2414465	2079
637000071	Chlamydiae	1225935	1157
637000072	Chlorobi	2572079	2100
637000073	Chlorobi	2154946	2317
637000089	Chloroflexi	1469720	1647
637000090	Chloroflexi	1395502	1517
637000092	Deinococcus-Thermus	3284156	3249
637000020	Firmicutes	4202352	4239
637000023	Firmicutes	5314794	5452
637000060	Firmicutes	2401520	2738
637000008	Proteobacteria	1197687	1006
637000009	Proteobacteria	1471282	1335
637000012	Proteobacteria	4727255	4686
637000036	Spirochaetes	1519856	1690
637000011	Tenericutes	723970	734
